Begonia	First Hate	What's the matter, boy?	www.youtube.com/watch?v=O1H9F7sC8Gg
Marcobia	Sublahshini, Anirudh Ravichander, Asal Kolaar	Monica	https://www.youtube.com/watch?v=2qCpY38ompo
Emsfrynt (reserve!)	tAngerinecAt	House of Shards	https://youtu.be/UAzpBEUkpvg?si=YQEGJlKlnASfQR13
Kimmystan	Deloraine	Arkona	https://www.youtube.com/watch?v=9Qphhm-Dfx4&embeds_referring_euri=https%3A%2F%2Fwww.escunited.com%2F&source_ve_path=MjM4NTE
New Acadia	bbno$ x ironmouse	1-800	https://youtu.be/6Ro7NubzE9A?si=6TtBt8VOpCmGXYJH
Griffin Empire	Conan Gray	Vodka Cranberry	https://youtu.be/Yzbvv8WdP9k
Sakuralia	Aqua	Turn Back Time	https://www.youtube.com/watch?v=Ls0WfopgR9k
Waiting Iist of Shelley & Nici	BLACKPINK	뛰어(JUMP)	https://youtu.be/CgCVZdcKcqY
Dwyforland	Carla	Coquillages	https://youtu.be/wqK3N9JBIaQ?list=RDwqK3N9JBIaQ
Roseland	Miley Cyrus feat. Naomi Campbell	Every Girl You've Ever Loved	https://www.youtube.com/watch?v=ukTm71Id0uE
Ugaly	South Arcade	How 2 Get Away With Murder	https://www.youtube.com/watch?v=46azFIIHz9s
Cydoni-Gibberia	Honningbarna	Rød bic	https://www.youtube.com/watch?v=OukwwhubczQ
Tanoiro	la euphoria, moistbreezy	Heaven’s Where You Are	https://youtu.be/Sb2t9SROcxE?si=BwyUAVFbIoxXWSRF&t=1896
Kamandé	Shania Twain	Giddy Up!	https://www.youtube.com/watch?v=-6BGu-GyKWQ
Fierraria	BARTKY	Zlospiv	https://youtu.be/a06zfmqPXFE?si=-kjus1UmZIz0hUqE
Rahasia & Diati	Hayes & Y	Leave Forever	https://youtu.be/r0cVOT_bLU0
Adamsburg	Agnes	Balenciaga Covered Eyes	https://youtu.be/WI1Agrdf3bA?si=c4gPAI0Jt0rAMnDr
Svobodnia	Ambre Ciel	the sun, the sky	https://www.youtube.com/watch?v=-k9xZbdZE5U
Afnia	OSG	Hate	https://www.youtube.com/watch?v=ayit1E_MZAM
Szimbaya Kingdom	Bonnie Tyler	It's a heart ache	https://youtu.be/bEOl38y8Nj8?si=KlUk_xb7E3dZSy5r
Redwood Republic	Teddy Swims	Bad Dreams	https://www.youtube.com/watch?v=Qh8QwVYOSVU
Meridia	Nilusi	Boru Kata	https://youtu.be/4Y1djb7v-jo
Papendink	Brutalismus 3000	Europaträume	https://www.youtube.com/watch?v=qBPdU57antg
Roxma Nova	Pupociklu Vasara	Ganiņš	https://youtu.be/f-Vy-Qoxh0c
Öösingimäed	carbeau	Regno	https://youtu.be/nNYeZPff1G8?feature=shared
Vermilion	Arilena Ara	Weightless	https://youtu.be/wzPy6vG0gEE?si=GcgxcXhHN1UP3QsS
United Kingdom of Destrion	DJ Lag ft. Jazz Alonso	Oke Oke	https://www.youtube.com/watch?v=a42ZKSMn9nU&ab_channel=DJLAG
Södermalm	Elinborg	Sjórok	https://youtu.be/49bV7xfdlAQ?si=w0yONH9C6dp0mfkL
Carpentaria	Teddy Bears ft. Iggy Pop	Punkrocker	https://www.youtube.com/watch?v=4lYIhKhgIuY
Biflovatia	Mefjus & Camo & Krooked	Sientelo	https://www.youtube.com/watch?v=gOpAr0UiT6Q
Comino	Wet Leg	Catch These Fists	https://youtu.be/6Kjz89xYmS4?si=NGhSpV9clQDkDDnm
Zombira	SADU	Luukered	https://www.youtube.com/watch?v=PBHce3_47wU
Halito	Naethan Apollo	ANYTHING 4 U	https://www.youtube.com/watch?v=jjellZ6ml9U
Trollheimr	The Vad Vuc	Fruntiera	https://www.youtube.com/watch?v=Gd9bDlANT48
Tamausia & Deltannor	Caroline Kingsbury	Shock Treatment	https://youtu.be/_-QKvoV2ofs?si=EHz4x9ik19IOuvBz
Reym-L-Dneurb	Anna Buchegger	Kim Vorbei	https://www.youtube.com/watch?v=mnOUj4pvOPU
Grand Duchy of Strenci	Ride	Like a Daydream	https://youtu.be/8zzo25t_eC8?si=SLOe1D9xKAyNxcmk
Yaponesia	Babychair x teeBai	Time	https://www.youtube.com/watch?v=hL4vkS4H0Uo
Doire	CMAT	Euro-Country	https://www.youtube.com/watch?v=_SVNTv44C4g
MatiMati	Barry Blum	Yeti Theme	https://youtube.com/watch?v=xgqJPmNDo8U
Fervorosia	MIKA	C'est la vie	https://www.youtube.com/watch?v=Oe7AU05BuZ8
New Bander State	LEMONSUCKR	DEAD DISCO	https://youtu.be/ZWJl-NWvV4E?list=RDZWJl-NWvV4E
Dalisska	Zimmer90	Whatever	https://www.youtube.com/watch?v=jVHfhEhAXE4&ab_channel=Zimmer90
Rehi Kaita	RoBERT	Tout ce qu'on dit de toi	https://youtu.be/goX2JwLIlZQ?si=EX_EFDZbZk20kgtf
Vylkuzeme	Mr. Hurley & Die Pulveraffen feat. Warkings	All Hail The Captain	https://www.youtube.com/watch?v=qSNh-b8pw3Y
Inzinimirit	Csinszka	Airday	https://www.youtube.com/watch?v=6Ed41ISsP0Y&ab_channel=Csinszka
Rumia	Golec uOrkiestra	Ściernisco	https://www.youtube.com/watch?v=yrJ_lzYGJdg
Dež Republic	Black Veil Brides	Bleeders	https://www.youtube.com/watch?v=AThcMJmiTXI
Bála Kunmenai	Carla's Dreams	Luna	https://www.youtube.com/watch?v=D0QT3ZULTaI
Tcher-Racoi	Ягода	Три девицы	https://www.youtube.com/watch?v=0e2Ls3JmJbw
Orsa	Yasunori Nishiki	The Uncharted Isle of Orsa	https://www.youtube.com/watch?v=KPBp8oB6nM4
Endórë	ZAZ	Mon coeur es fou	https://youtu.be/myM25b5QpCY?si=pcR1UM7k9EXV4Uu_
Kordavian Islands	Natalia Doco and Devendra Banhart	Quedate Luna	https://www.youtube.com/watch?v=oRW4pSg64WY&ab_channel=millemon-electronic%2Fworldmusic
Belvist	Novi	Shadow Heart	https://www.youtube.com/watch?v=4jtZZgzcrJg
Aimūlli	Renaissance	Opening Out	https://www.youtube.com/watch?v=wiD8PeY3vBM
Xochimilia	Mobley	Infinite Sunrise	https://www.youtube.com/watch?v=oMVJYq6pCug
Konthena	breathe.	Grace	https://youtu.be/gDGVgueUmBk?si=oXzE5vUO3XHdWNV9
Tír an Abhainn	boipepperoni, Mahavok	Tants Läbi Elu	https://youtu.be/_BqLTdEAut4?si=E8J5WIsUZ5dx3e4_
